"idx","posterior","model","variable"
0.27,0.0079940784603997,"1","epsilon"
0.3,0.00888230940044412,"1","epsilon"
0.33,0.0103626943005181,"1","epsilon"
0.36,0.0118430792005922,"1","epsilon"
0.39,0.0148038490007402,"1","epsilon"
0.42,0.0177646188008882,"1","epsilon"
0.45,0.0222057735011103,"1","epsilon"
0.48,0.0266469282013323,"1","epsilon"
0.51,0.0310880829015544,"1","epsilon"
0.54,0.0370096225018505,"1","epsilon"
0.57,0.0479644707623982,"1","epsilon"
0.6,0.0592153960029608,"1","epsilon"
0.63,0.0518134715025907,"1","epsilon"
0.66,0.0473723168023686,"1","epsilon"
0.69,0.0507772020725389,"1","epsilon"
0.72,0.0540340488527017,"1","epsilon"
0.75,0.0636565507031828,"1","epsilon"
0.78,0.0518134715025907,"1","epsilon"
0.81,0.0451517394522576,"1","epsilon"
0.84,0.045299777942265,"1","epsilon"
0.87,0.0466321243523316,"1","epsilon"
0.9,0.0481125092524056,"1","epsilon"
0.93,0.0503330866025167,"1","epsilon"
0.96,0.0525536639526277,"1","epsilon"
0.99,0.0562546262028127,"1","epsilon"
0,0.00630914826498423,"2","epsilon"
0.03,0.00630914826498423,"2","epsilon"
0.06,0.00630914826498423,"2","epsilon"
0.09,0.00630914826498423,"2","epsilon"
0.12,0.00630914826498423,"2","epsilon"
0.15,0.00630914826498423,"2","epsilon"
0.18,0.00630914826498423,"2","epsilon"
0.21,0.00630914826498423,"2","epsilon"
0.24,0.00630914826498423,"2","epsilon"
0.27,0.00630914826498423,"2","epsilon"
0.3,0.00630914826498423,"2","epsilon"
0.33,0.00630914826498423,"2","epsilon"
0.36,0.00630914826498423,"2","epsilon"
0.39,0.00630914826498423,"2","epsilon"
0.42,0.00630914826498423,"2","epsilon"
0.45,0.00630914826498423,"2","epsilon"
0.48,0.00630914826498423,"2","epsilon"
0.51,0.00630914826498423,"2","epsilon"
0.54,0.00630914826498423,"2","epsilon"
0.57,0.00630914826498423,"2","epsilon"
0.6,0.00630914826498423,"2","epsilon"
0.63,0.026813880126183,"2","epsilon"
0.66,0.0473186119873817,"2","epsilon"
0.69,0.0473186119873817,"2","epsilon"
0.72,0.0473186119873817,"2","epsilon"
0.75,0.0473186119873817,"2","epsilon"
0.78,0.0662460567823344,"2","epsilon"
0.81,0.083596214511041,"2","epsilon"
0.84,0.083596214511041,"2","epsilon"
0.87,0.083596214511041,"2","epsilon"
0.9,0.083596214511041,"2","epsilon"
0.93,0.083596214511041,"2","epsilon"
